,,,,,,,,,,,,,,,
,,,,,,,,,The City of New York,,,,,,
,,,,,,,,,Department of Environmental Protection,,,,,,2/6/18
,,,,,,,,,Harbor Survey 2013,,,,,,1/23/18
,,,,,,,,,,,,,,,
,,,DO,,Fecal Coliform,,Enterococcus,,Transparency,Weather,,,,,
,,,(mg/L),,(#/100 mL),,(#/100 mL),,(Secchi),Wet/Dry,,,,,
,Site,Date,Top,Bot,Top,Bot,Top,Bot,ft.,,,,,,
,,,,,,,,,,,,,,,
,FLC2,09/23/2013,5.70,6.06,20000,NS,90,NS,2.5,Wet,,,,,
,H3,09/23/2013,5.68,5.96,425,NS,80,NS,2.0,Wet,,,,,
,LN1,09/23/2013,7.01,NS,262,NS,2,NS,3.5,Wet,,,,,
,N1,09/23/2013,6.08,5.41,195,NS,16,NS,2.5,Wet,,,,,
,N3B,09/23/2013,5.85,5.76,420,NS,22,NS,2.0,Wet,,,,,
,N4,09/23/2013,6.03,5.89,144,NS,6,NS,2.0,Wet,,,,,
,N5,09/23/2013,5.84,5.84,60,NS,4,NS,3.0,Wet,,,,,
,F1,09/19/2013,NS,NS,NS,NS,NS,NS,NS,Dry,,,,,
,F5,09/19/2013,5.80,NS,168,NS,2,NS,NS,Dry,,,,,
,J14,09/19/2013,7.53,NS,8,NS,2,NS,NS,Dry,,,,,
,J16,09/19/2013,7.52,NS,5,NS,2,NS,NS,Dry,,,,,
,AC1,09/18/2013,6.36,NS,4000,NS,84,NS,NS,Dry,,,,,
,BB2,09/18/2013,1.63,NS,200000,NS,170,NS,1.0,Dry,,,,,
,BB4,09/18/2013,4.79,4.48,2300,NS,2,NS,2.0,Dry,,,,,
,BR1,09/18/2013,8.08,NS,2900,NS,104,NS,NS,Dry,,,,,
,BR3,09/18/2013,4.66,NS,300,NS,84,NS,NS,Dry,,,,,
,CIC3,09/18/2013,5.54,5.87,12950,NS,12,NS,4.0,Dry,,,,,
,GB1,09/18/2013,6.76,6.57,20,NS,4,NS,4.0,Dry,,,,,
,HC1,09/18/2013,2.61,NS,70,NS,12,NS,NS,Dry,,,,,
,HC2,09/18/2013,4.96,NS,2,NS,2,NS,NS,Dry,,,,,
,J1,09/18/2013,7.58,7.22,6,NS,1,NS,3.0,Dry,,,,,
,J10,09/18/2013,7.38,7.31,64,NS,8,NS,3.0,Dry,,,,,
,J11,09/18/2013,7.33,6.73,46,NS,7,NS,4.0,Dry,,,,,
,J12,09/18/2013,7.59,5.35,46,NS,2,NS,2.5,Dry,,,,,
,J2,09/18/2013,7.12,6.55,33,NS,1,NS,2.5,Dry,,,,,
,J3,09/18/2013,8.35,6.05,264,NS,1,NS,3.0,Dry,,,,,
,J5,09/18/2013,7.85,7.57,5,NS,1,NS,3.0,Dry,,,,,
,J7,09/18/2013,7.12,5.67,100,NS,1,NS,2.0,Dry,,,,,
,J8,09/18/2013,5.81,5.83,236,NS,1,NS,2.5,Dry,,,,,
,J9A,09/18/2013,6.17,5.99,188,NS,1,NS,2.5,Dry,,,,,
,N16,09/18/2013,7.19,6.98,10,NS,1,NS,5.0,Dry,,,,,
,N9,09/18/2013,6.69,6.59,5,NS,3,NS,3.0,Dry,,,,,
,N9A,09/18/2013,7.20,7.03,3,NS,1,NS,4.0,Dry,,,,,
,PB2,09/18/2013,7.67,7.27,29,NS,8,NS,2.0,Dry,,,,,
,PB3,09/18/2013,10.17,NS,102,NS,1,NS,2.0,Dry,,,,,
,SP1,09/18/2013,4.87,NS,40,NS,4,NS,NS,Dry,,,,,
,SP2,09/18/2013,5.89,NS,240,NS,1,NS,2.5,Dry,,,,,
,CIC2,09/17/2013,2.65,NS,200000,NS,1300,NS,NS,Dry,,,,,
,G2,09/17/2013,5.73,5.30,20,NS,1,NS,5.5,Dry,,,,,
