Site,Date,Depth,,Salinity,,Temperature,,O2,,O2 Saturation,,Conductivity,,Light Trans,,Sigma-T,,Fluorometer,,pH,,Photosysthetically Active Radiation Reference (400-700nm light),PAR,,Oxidation Reduction Potential,,Latitude,Longitude,Default,,Hr:Mn,Act. Dep.,Current,,Wind,,Sea State,O2 (Wnklr),,Secchi,pH,,Fecal  Coliform,,Inc.,Enterococcus,,Inc.,Weather,NO3/NO2-N,,NH3-N,,Ortho-P,,TKN-N,,SiO2,,Total-P,,TSS,,Chl a,,DOC,Depth (YSI),,Salinity (YSI),,Temperature (YSI),,Chl a (field),,DO (YSI),,Turbidity (YSI),,Weather,,,
,,(ft),,(psu),,(deg C),,(mg/L),,(% sat),,(S/M),,(%Trans.),,(kg/m3),,(mg/m3),,,,uE/s m2,uE/s m2,,mV,,,,Latitude,Longitude,,(ft),(knots),,(mph),,,(mg/L),,(ft),,,(#/100 mL),,#,(#/100 mL),,#,,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(μg/L),,(mg/L),(ft),,(psu),,(deg C),,(μg/L),,(mg/L),,,,Rain Gage,,,
   ,,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Top,Bot,Top,Bot,,,,,,,Speed,Dir.,Speed,Dir.,,Top,Bot,,Top,Bot,Top,Bot,,Top,Bot,,Dry/Wet,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Dry/Wet,,,
J5,1/15/08,5,14,25.84,25.83,5.24,5.28,ND,ND,ND,ND,2.56,2.56,ND,ND,20.40,20.39,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1:53 PM,21.0,0.8,E,12,NW,1,13.19,13.98,4.0,8.17,8.17,42,ND,,2,ND,,W,0.622,,0.205,,0.052,,1.170,,0.028,,0.139,,7.2,7.0,30.960,,3.30,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
DJ12,1/15/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12.11,12.97,4.5,ND,ND,46,ND,,16,ND,,W,0.758,,0.570,,0.086,,1.790,,0.158,,0.210,,8.2,7.7,58.080,,3.30,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
G2,1/16/08,5,29,14.75,14.69,4.33,5.68,ND,ND,ND,ND,1.49,1.54,ND,ND,11.70,11.57,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,4:53 PM,28.0,WEAK,WEAK,12,N,1,11.63,10.44,3.0,7.64,7.69,56,ND,,18,ND,,W,0.452,,0.290,,0.070,,1.100,,2.850,,0.089,,14.8,22.2,0.732,,4.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
N7,1/16/08,5,48,13.15,13.40,4.23,4.54,ND,ND,ND,ND,1.34,1.37,ND,ND,10.44,10.62,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12:11 PM,47.0,0.5,S,12,N,1,11.98,10.66,2.0,7.64,7.79,64,ND,,26,ND,,W,0.468,,0.291,,0.066,,1.090,,3.260,,0.102,,9.7,11.7,0.908,,3.50,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
N8,1/16/08,5,90,14.18,26.23,4.36,5.90,ND,ND,ND,ND,1.44,2.64,ND,ND,11.24,20.64,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12:50 PM,94.0,0.7,N,17,N,1,11.74,10.37,2.0,7.68,7.81,44,ND,,12,ND,,W,0.415,,0.258,,0.064,,1.200,,2.720,,0.084,,13.9,17.8,0.840,,3.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
K6,1/16/08,4,20,19.15,19.35,5.06,5.17,ND,ND,ND,ND,1.94,1.96,ND,ND,15.13,15.28,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1:34 PM,20.0,WEAK,WEAK,14,NW,1,12.18,11.32,3.0,7.71,7.73,16,ND,,8,ND,,W,0.368,,0.238,,0.058,,0.969,,2.320,,0.076,,10.7,13.3,1.503,,3.30,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
K5A,1/16/08,6,19,18.43,18.55,5.39,5.31,ND,ND,ND,ND,1.89,1.89,ND,ND,14.54,14.64,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2:16 PM,24.0,1.5,E,18,NW,1,11.34,10.98,3.0,7.46,7.58,34,ND,,24,ND,,W,0.604,,0.438,,0.092,,1.220,,3.060,,0.118,,15.8,13.5,0.972,,4.20,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
K5,1/16/08,5,42,18.03,18.15,5.61,5.84,ND,ND,ND,ND,1.86,1.88,ND,ND,14.21,14.28,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2:31 PM,42.0,0.7,S,7,NW,1,4.33,3.82,4.0,7.60,7.73,46,ND,,40,ND,,W,0.581,,0.454,,0.093,,1.150,,2.780,,0.120,,10.2,15.0,1.652,,4.20,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
K4,1/16/08,5,37,11.20,17.19,5.50,5.64,ND,ND,ND,ND,1.18,1.78,ND,ND,8.82,13.54,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3:02 PM,39.0,1,S,12,N,1,11.04,10.67,3.0,7.50,7.55,76,ND,,36,ND,,W,0.644,,0.564,,0.109,,1.140,,3.450,,0.140,,14.5,12.0,0.708,,3.60,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
K3,1/16/08,5,37,18.99,15.98,5.14,5.44,ND,ND,ND,ND,1.95,1.66,ND,ND,15.00,12.60,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3:40 PM,41.0,0.2,S,8,NW,1,10.98,10.85,3.0,7.48,7.58,68,ND,,46,ND,,W,0.640,,0.776,,0.115,,1.750,,3.660,,0.149,,17.8,20.0,0.767,,3.70,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
