Site,Date,Depth,,Salinity,,Temperature,,O2,,O2 Saturation,,Conductivity,,Light Trans,,Sigma-T,,Fluorometer,,pH,,Photosysthetically Active Radiation Reference (400-700nm light),PAR,,Oxidation Reduction Potential,,Latitude,Longitude,Default,,Hr:Mn,Act. Dep.,Current,,Wind,,Sea State,O2 (Wnklr),,Secchi,pH,,Fecal  Coliform,,Inc.,Enterococcus,,Inc.,Weather,NO3/NO2-N,,NH3-N,,Ortho-P,,TKN-N,,SiO2,,Total-P,,TSS,,Chl a,,DOC,Depth (YSI),,Salinity (YSI),,Temperature (YSI),,Chl a (field),,DO (YSI),,Turbidity (YSI),,Weather,,,
,,(ft),,(psu),,(deg C),,(mg/L),,(% sat),,(S/M),,(%Trans.),,(kg/m3),,(mg/m3),,,,uE/s m2,uE/s m2,,mV,,,,Latitude,Longitude,,(ft),(knots),,(mph),,,(mg/L),,(ft),,,(#/100 mL),,#,(#/100 mL),,#,,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(μg/L),,(mg/L),(ft),,(psu),,(deg C),,(μg/L),,(mg/L),,,,Rain Gage,,,
   ,,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Top,Bot,Top,Bot,,,,,,,Speed,Dir.,Speed,Dir.,,Top,Bot,,Top,Bot,Top,Bot,,Top,Bot,,Dry/Wet,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Dry/Wet,,,
K3,9/17/08,4,39,19.41,20.88,23.00,22.50,5.11,4.92,66.72,64.26,3.00,3.17,ND,ND,12.16,13.40,2.77,2.93,ND,ND,1675,107,0,ND,ND,40.637670,-74.194830,ND,ND,12:47 PM,40.0,0.3,SW,5,N,1,6.34,6.15,4.5,7.25,7.25,112,ND,,10,ND,,D,0.538,,1.430,,0.207,,3.090,,2.240,,0.264,,7.2,9.6,1.860,,4.60,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
K2,9/17/08,4,27,21.19,22.00,22.12,21.84,4.98,4.93,64.66,63.98,3.19,3.28,ND,ND,13.73,14.41,2.51,2.66,ND,ND,2422,169,0,ND,ND,40.640830,-74.153330,ND,ND,12:31 PM,28.0,0.3,S,3,N,1,6.39,6.13,3.5,7.28,7.29,50,ND,,4,ND,,D,0.442,,0.504,,0.159,,1.620,,1.630,,0.212,,7.2,6.4,1.895,,4.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
K1,9/17/08,4,36,23.67,26.56,21.63,20.79,4.89,5.08,63.90,66.47,3.49,3.81,ND,ND,15.73,18.13,3.24,3.69,ND,ND,1442,100,0,ND,ND,40.649670,-74.083500,ND,ND,12:00 PM,48.0,0.1,E,7,N,1,6.39,6.31,3.5,7.30,7.41,4,ND,,1,ND,,D,0.366,,0.404,,0.139,,2.330,,1.620,,0.182,,19.2,22.8,1.972,,3.90,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
N6,9/17/08,4,53,25.05,26.90,21.20,20.54,5.35,5.27,69.84,68.72,3.64,3.83,ND,ND,16.89,18.45,3.69,4.08,ND,ND,1028,54,0,ND,ND,40.664830,-74.052330,ND,ND,11:46 AM,54.0,0.1,E,9,N,1,6.84,6.64,5.0,7.32,7.44,4,ND,,1,ND,,D,0.288,,0.528,,0.132,,1.680,,1.470,,0.172,,13.2,16.8,2.740,,3.70,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
NC0,9/17/08,4,19,21.61,22.73,22.40,23.03,1.27,0.15,16.62,2.04,3.27,3.46,ND,ND,13.97,14.65,38.59,7.88,ND,ND,1811,80,0,ND,ND,40.714830,-73.931170,ND,ND,10:34 AM,17.0,0.2,W,2,E,1,0.17,0.23,1.5,6.85,6.86,310,220,,100,20,,D,<0.010,,1.010,,0.295,,5.200,,2.510,,0.394,,6.8,12.8,12.600,,4.20,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
NC1,9/17/08,5,20,22.31,23.22,22.63,22.87,2.12,1.41,27.95,18.74,3.38,3.52,ND,ND,14.44,15.06,21.79,6.72,ND,ND,1011,28,0,ND,ND,40.723830,-73.926500,ND,ND,10:44 AM,23.0,0.2,S,3,NE,1,2.47,2.21,3.0,6.92,6.93,40,16,,20,8,,D,0.153,,0.730,,0.220,,3.420,,2.200,,0.333,,8.8,5.6,18.040,,3.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
NC2,9/17/08,4,18,22.74,23.52,22.59,22.59,3.12,2.63,41.20,34.95,3.43,3.54,ND,ND,14.78,15.37,13.50,4.16,ND,ND,1555,70,2,ND,ND,40.729000,-73.935170,ND,ND,10:52 AM,17.0,0.2,S,3,NE,1,3.68,3.29,5.5,7.02,7.03,92,28,,12,4,,D,0.251,,0.624,,0.201,,5.400,,2.140,,0.282,,7.2,10.4,14.221,,3.70,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
NC3,9/17/08,4,24,23.33,23.97,22.49,22.46,3.18,3.36,42.17,44.65,3.51,3.59,ND,ND,15.25,15.74,6.88,2.60,ND,ND,1696,83,1,ND,ND,40.737330,-73.946500,ND,ND,11:02 AM,25.0,0.2,S,1,NE,1,4.27,4.23,7.5,7.09,7.16,32,12,,4,10,,D,0.404,,0.545,,0.191,,3.000,,2.090,,0.242,,9.6,8.8,5.676,,3.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
DK4,9/17/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,5.83,5.26,4.0,ND,ND,40,ND,,4,ND,,D,0.596,,0.671,,0.197,,1.480,,2.250,,0.262,,10.4,10.4,2.656,,3.90,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
HC1,9/18/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,10:40 AM,ND,ND,ND,ND,ND,ND,ND,ND,ND,7.13,ND,44,ND,,8,ND,,D,1.400,,7.940,,1.430,,25.100,,9.540,,1.510,,12.4,,5.560,,,ND,ND,14.44,ND,22.39,ND,4.9,ND,4.58,ND,1.2,ND,D,,,
HC2,9/18/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,10:50 AM,ND,ND,ND,ND,ND,ND,ND,ND,ND,7.14,ND,4,ND,,4,ND,,D,2.110,,8.620,,0.841,,42.400,,7.320,,1.210,,8.8,,8.899,,,ND,ND,24.57,ND,22.17,ND,12.4,ND,4.78,ND,0.5,ND,D,,,
SP1,9/18/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,10:10 AM,ND,ND,ND,ND,ND,ND,ND,ND,ND,7.60,ND,24,ND,,4,ND,,D,0.290,,1.100,,0.283,,8.020,,2.550,,0.384,,11.6,,18.482,,,ND,ND,25.92,ND,21.88,ND,9.8,ND,4.18,ND,0.1,ND,D,,,
DHC2,9/18/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,4,ND,,4,ND,,D,2.060,,8.520,,1.020,,22.800,,6.990,,1.140,,6.4,,8.360,,,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
E10,9/22/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,10:44 AM,89.0,0.3,E,10,E,1,9.81,ND,5.0,7.34,ND,4,ND,,1,ND,,D,0.182,,<0.010,,0.095,,0.818,,0.166,,0.162,,8.8,,35.374,,6.30,ND,ND,26.10,ND,21.30,ND,ND,ND,ND,ND,ND,ND,D,,,
E8,9/22/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11:01 AM,83.0,0.3,E,11,E,1,9.94,ND,5.5,7.51,ND,1,ND,,1,ND,,D,0.332,,0.138,,0.131,,1.350,,0.160,,0.198,,12.8,,44.429,,4.60,ND,ND,25.30,ND,21.40,ND,ND,ND,ND,ND,ND,ND,D,,,
E7,9/22/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11:13 AM,46.0,0.9,E,9,E,1,10.77,ND,4.0,7.60,ND,9,ND,,1,ND,,D,0.376,,0.214,,0.135,,0.841,,0.159,,0.223,,12.8,,48.552,,3.60,ND,ND,25.00,ND,21.60,ND,ND,ND,ND,ND,ND,ND,D,,,
E6,9/22/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11:30 AM,19.0,0.8,NE,9,E,1,9.03,ND,4.5,7.46,ND,10,ND,,1,ND,,D,0.469,,0.394,,0.166,,1.030,,0.416,,0.236,,11.2,,28.620,,3.90,ND,ND,24.30,ND,21.80,ND,ND,ND,ND,ND,ND,ND,D,,,
FB1,9/22/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11:37 AM,18.0,0.1,N,8,E,1,10.39,10.53,4.5,7.56,7.59,79,ND,,3,ND,,D,0.414,,0.288,,0.153,,1.400,,0.218,,0.240,,9.6,10.4,40.960,,4.00,ND,ND,24.40,24.40,21.60,21.40,ND,ND,ND,ND,ND,ND,D,,,
E15,9/22/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11:47 AM,10.0,0.2,SE,9,N,1,11.06,11.48,4.0,7.73,7.73,448,ND,,2,ND,,D,0.398,,0.213,,0.131,,1.220,,0.072,,0.252,,11.2,11.2,42.960,,6.00,ND,ND,24.10,24.30,21.50,21.20,ND,ND,ND,ND,ND,ND,D,,,
FLC2,9/22/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11:55 AM,12.0,0.5,SE,8,N,1,10.24,9.33,3.5,7.57,7.51,800,ND,,17,ND,,D,0.344,,0.306,,0.134,,1.480,,0.310,,0.282,,13.2,8.4,58.936,,4.70,ND,ND,23.90,24.30,21.50,21.40,ND,ND,ND,ND,ND,ND,D,,,
FLC1,9/22/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12:03 PM,12.0,0.1,S,3,N,1,9.83,9.65,3.0,7.63,7.56,1620,ND,,10,ND,,D,0.274,,0.350,,0.123,,1.700,,1.300,,0.310,,16.8,14.4,60.080,,4.60,ND,ND,22.80,23.30,21.50,21.20,ND,ND,ND,ND,ND,ND,D,,,
E14,9/22/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12:46 PM,17.0,0.8,E,11,E,1,8.72,ND,3.0,7.44,ND,16,ND,,1,ND,,D,0.373,,0.412,,0.182,,1.090,,0.410,,0.259,,18.4,,47.827,,5.90,ND,ND,24.80,ND,22.00,ND,ND,ND,ND,ND,ND,ND,D,,,
E4,9/22/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1:09 PM,68.0,1.8,NE,7,E,1,6.96,ND,4.5,7.27,ND,18,ND,,4,ND,,D,0.518,,0.488,,0.182,,1.420,,0.789,,0.263,,5.2,,22.260,,4.00,ND,ND,23.90,ND,22.00,ND,ND,ND,ND,ND,ND,ND,D,,,
E2,9/22/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1:37 PM,49.0,1.7,N,0,O,1,6.85,ND,4.5,7.30,ND,16,ND,,3,ND,,D,0.510,,0.404,,0.160,,1.010,,1.140,,0.210,,6.8,,10.155,,4.60,ND,ND,23.00,ND,21.80,ND,ND,ND,ND,ND,ND,ND,D,,,
N5,9/22/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2:11 PM,51.0,1.7,N,8,NE,1,7.48,ND,3.5,7.34,ND,16,ND,,2,ND,,D,0.515,,0.267,,0.136,,1.080,,1.390,,0.178,,6.2,,4.590,,5.40,ND,ND,19.10,ND,22.20,ND,ND,ND,ND,ND,ND,ND,D,,,
N4,9/22/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2:30 PM,43.0,1.7,N,10,NE,1,7.62,ND,3.0,7.36,ND,12,ND,,2,ND,,D,0.566,,0.153,,0.132,,0.984,,1.660,,0.171,,10.4,,4.553,,5.00,ND,ND,15.00,ND,22.30,ND,ND,ND,ND,ND,ND,ND,D,,,
N3B,9/22/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2:50 PM,66.0,1.9,N,14,NE,1,7.84,ND,3.5,7.37,ND,8,ND,,2,ND,,D,0.571,,0.118,,0.126,,0.684,,1.780,,0.162,,8.8,,3.418,,4.90,ND,ND,13.60,ND,22.30,ND,ND,ND,ND,ND,ND,ND,D,,,
N1,9/22/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3:19 PM,49.0,1.6,N,8,NE,1,7.81,ND,3.0,7.36,ND,10,ND,,1,ND,,D,0.580,,0.064,,0.117,,0.688,,1.830,,0.157,,9.6,,3.604,,4.80,ND,ND,11.30,ND,22.40,ND,ND,ND,ND,ND,ND,ND,D,,,
H3,9/22/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,4:08 PM,24.0,0.2,S,7,NE,1,7.84,ND,4.0,7.28,ND,80,ND,,7,ND,,D,0.593,,0.084,,0.120,,1.150,,1.760,,0.156,,14.0,,5.580,,5.70,ND,ND,12.20,ND,22.50,ND,ND,ND,ND,ND,ND,ND,D,,,
DE15,9/22/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11.08,11.56,4.0,ND,ND,400,ND,,1,ND,,D,0.405,,0.212,,0.130,,1.120,,0.088,,0.243,,12.8,8.8,46.880,,4.20,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
N9,9/23/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11:09 AM,15.0,0.3,W,8,SE,1,8.26,ND,7.0,7.36,ND,22,ND,,1,ND,,D,0.242,,0.238,,0.091,,0.828,,0.780,,0.115,,15.6,,1.630,,3.50,ND,ND,26.80,ND,20.20,ND,ND,ND,ND,ND,ND,ND,D,,,
N16,9/23/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,,D,,,,,,,,,,,,,,,,,,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
J11,9/23/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11:43 AM,21.0,0.8,W,9,SE,1,10.17,ND,3.0,7.67,ND,101,ND,,60,ND,,D,0.174,,0.108,,0.051,,0.880,,0.602,,0.105,,17.6,,16.079,,3.30,ND,ND,28.60,ND,20.10,ND,ND,ND,ND,ND,ND,ND,D,,,
SHB1,9/23/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11:53 AM,38.0,0.8,W,8,SE,1,11.68,4.70,4.0,7.82,7.28,1080,68,,3,5,,D,0.586,0.104,0.056,0.328,0.025,0.102,0.829,0.869,1.390,0.988,0.099,0.149,15.2,10.4,4.240,,3.20,ND,ND,21.90,26.90,20.40,20.00,ND,ND,ND,ND,ND,ND,D,,,
J1,9/23/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12:35 PM,35.0,1.1,W,11,E,1,8.86,ND,4.0,7.70,ND,2,ND,,1,ND,,D,0.161,,0.222,,0.096,,0.778,,0.704,,0.124,,16.0,,5.459,,3.50,ND,ND,26.00,ND,20.20,ND,ND,ND,ND,ND,ND,ND,D,,,
J2,9/23/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12:50 PM,37.0,1.1,N,12,E,1,8.77,ND,3.5,7.57,ND,20,ND,,20,ND,,D,0.264,,0.506,,0.142,,1.300,,1.610,,0.211,,22.4,,9.853,,3.70,ND,ND,24.30,ND,20.30,ND,ND,ND,ND,ND,ND,ND,D,,,
J3,9/23/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12:59 PM,32.0,0.7,E,15,E,1,8.62,ND,3.5,7.56,ND,11,ND,,2,ND,,D,0.282,,0.590,,0.158,,1.260,,1.760,,0.229,,16.0,,14.380,,3.70,ND,ND,25.20,ND,20.20,ND,ND,ND,ND,ND,ND,ND,D,,,
J9A,9/23/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1:06 PM,21.0,0.6,E,11,E,1,7.88,ND,4.0,7.53,ND,26,ND,,1,ND,,D,0.278,,0.539,,0.151,,1.260,,1.720,,0.215,,24.0,,16.361,,3.40,ND,ND,22.40,ND,20.50,ND,ND,ND,ND,ND,ND,ND,D,,,
SP2,9/23/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1:15 PM,8.0,0,E,10,E,1,8.16,ND,3.5,7.49,ND,51,ND,,24,ND,,D,0.312,,0.746,,0.171,,1.550,,1.970,,0.250,,12.8,,16.766,,4.30,ND,ND,17.90,ND,20.60,ND,ND,ND,ND,ND,ND,ND,D,,,
J8,9/23/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1:20 PM,21.0,0.8,NE,8,E,1,8.24,ND,3.5,7.55,ND,32,ND,,1,ND,,D,0.310,,0.666,,0.166,,1.420,,1.860,,0.241,,20.0,,18.080,,4.20,ND,ND,26.80,ND,20.60,ND,ND,ND,ND,ND,ND,ND,D,,,
SB1,9/23/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,,D,,,,,,,,,,,,,,,,,,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
SB3,9/23/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,,D,,,,,,,,,,,,,,,,,,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
J7,9/23/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1:30 PM,27.0,0.6,W,12,E,1,8.22,ND,3.5,7.51,ND,60,ND,,14,ND,,D,0.356,,1.060,,0.225,,1.910,,2.280,,0.316,,18.4,,14.435,,5.70,ND,ND,25.70,ND,21.40,ND,ND,ND,ND,ND,ND,ND,D,,,
J12,9/23/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1:38 PM,39.0,0.8,W,5,E,1,8.62,ND,4.0,7.53,ND,116,ND,,1,ND,,D,0.383,,1.170,,0.253,,2.240,,2.400,,0.344,,16.4,,17.258,,4.40,ND,ND,25.10,ND,21.10,ND,ND,ND,ND,ND,ND,ND,D,,,
J5,9/23/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1:54 PM,20.0,0.6,NE,7,E,1,8.31,ND,3.5,7.62,ND,9,ND,,2,ND,,D,0.274,,0.377,,0.134,,1.240,,1.460,,0.199,,21.6,,16.645,,3.80,ND,ND,27.30,ND,20.50,ND,ND,ND,ND,ND,ND,ND,D,,,
DJ12,9/23/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,8.18,ND,4.5,ND,ND,80,ND,,40,ND,,D,0.369,,1.160,,0.249,,2.290,,2.410,,0.352,,12.8,,16.840,,4.30,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
G2,9/24/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12:18 PM,27.0,0.9,SW,8,E,1,6.39,ND,7.0,7.42,ND,28,ND,,3,ND,,D,0.435,,0.337,,0.134,,0.698,,1.020,,0.164,,19.6,,3.104,,3.40,ND,ND,24.20,ND,20.70,ND,ND,ND,ND,ND,ND,ND,D,,,
N7,9/24/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12:36 PM,50.0,1.3,S,5,E,1,7.74,ND,4.0,7.47,ND,4,ND,,2,ND,,D,0.462,,0.282,,0.120,,0.729,,1.110,,0.158,,20.4,,4.320,,3.00,ND,ND,21.00,ND,21.10,ND,ND,ND,ND,ND,ND,ND,D,,,
N8,9/24/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12:54 PM,88.0,0.4,S,10,E,1,7.99,ND,7.0,7.50,ND,4,ND,,1,ND,,D,0.406,,0.325,,0.114,,0.728,,0.993,,0.152,,19.6,,6.180,,3.00,ND,ND,22.80,ND,20.90,ND,ND,ND,ND,ND,ND,ND,D,,,
K6,9/24/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1:30 PM,19.0,0.8,W,10,SE,1,9.78,ND,6.0,7.71,ND,1,ND,,1,ND,,D,0.340,,0.112,,0.089,,0.732,,0.936,,0.146,,23.2,,18.624,,3.10,ND,ND,25.70,ND,20.30,ND,ND,ND,ND,ND,ND,ND,D,,,
K5A,9/24/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2:07 PM,23.0,0.7,W,9,SE,1,8.81,ND,6.0,7.54,ND,2,ND,,1,ND,,D,0.565,,0.323,,0.155,,0.860,,2.060,,0.208,,29.6,,9.780,,4.10,ND,ND,23.00,ND,21.20,ND,ND,ND,ND,ND,ND,ND,D,,,
K5,9/24/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2:18 PM,41.0,0.9,NE,11,E,1,8.81,ND,5.0,7.56,ND,20,ND,,3,ND,,D,0.573,,0.332,,0.159,,0.795,,2.080,,0.212,,18.4,,10.040,,4.00,ND,ND,22.90,ND,21.40,ND,ND,ND,ND,ND,ND,ND,D,,,
K4,9/24/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2:43 PM,38.0,1,N,8,E,1,6.96,ND,5.5,7.34,ND,8,ND,,1,ND,,D,0.696,,0.585,,0.197,,1.080,,2.110,,0.246,,11.6,,2.252,,3.40,ND,ND,21.80,ND,22.10,ND,ND,ND,ND,ND,ND,ND,D,,,
K3,9/24/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3:07 PM,41.0,1.1,N,7,E,1,7.52,ND,5.5,7.39,ND,580,ND,,5,ND,,D,0.633,,0.832,,0.182,,1.190,,1.930,,0.228,,17.6,,2.004,,3.50,ND,ND,21.30,ND,22.40,ND,ND,ND,ND,ND,ND,ND,D,,,
